x,y,LOCAL_MONTH,SNOW_ON_GROUND_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,TOTAL_RAIN,PROVINCE_CODE,TOTAL_PRECIPITATION_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,MAX_TEMPERATURE,LOCAL_DATE,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE,MAX_REL_HUMIDITY_FLAG,SNOW_ON_GROUND,ID,STATION_NAME,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS_FLAG,MEAN_TEMPERATURE_FLAG,TOTAL_RAIN_FLAG,LOCAL_DAY,DIRECTION_MAX_GUST,SPEED_MAX_GUST,MIN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS,LOCAL_YEAR,DIRECTION_MAX_GUST_FLAG,MAX_REL_HUMIDITY
-120.8,50.935,1,,1166658,-9.5,,,0,BC,,,15,-1.5,2012-01-14 00:00:00,,-5.5,,0,1166658.2012.1.14,RED LAKE,,15,,,,,14,,,,0,23.5,2012,,
-120.8,50.935,1,,1166658,-12.5,,,0,BC,,,0,-9,2012-01-15 00:00:00,,-10.8,,22,1166658.2012.1.15,RED LAKE,,0,,,,,15,,,,0,28.8,2012,,
-120.8,50.935,1,,1166658,-20.5,,,0,BC,,,0,-16,2012-01-16 00:00:00,,-18.3,,21,1166658.2012.1.16,RED LAKE,,0,,,,,16,,,,0,36.3,2012,,
-120.8,50.935,1,,1166658,-28.5,,,0,BC,,,0,-22.5,2012-01-17 00:00:00,,-25.5,,21,1166658.2012.1.17,RED LAKE,,0,,,,,17,,,,0,43.5,2012,,
-120.8,50.935,1,,1166658,-34.2,,,0,BC,,,0,-24,2012-01-18 00:00:00,,-29.1,,21,1166658.2012.1.18,RED LAKE,,0,,,,,18,,,,0,47.1,2012,,
-120.8,50.935,1,,1166658,-25.5,,,0,BC,,,0,-19,2012-01-19 00:00:00,,-22.3,,21,1166658.2012.1.19,RED LAKE,,0,,,,,19,,,,0,40.3,2012,,
-120.8,50.935,1,,1166658,-20.2,,,0,BC,,,3,-3,2012-01-20 00:00:00,,-11.6,,21,1166658.2012.1.20,RED LAKE,,3,,,,,20,,,,0,29.6,2012,,
-120.8,50.935,1,,1166658,-9,,,0,BC,,,0,0.5,2012-01-21 00:00:00,,-4.3,,23,1166658.2012.1.21,RED LAKE,,0,,,,,21,,,,0,22.3,2012,,
-120.8,50.935,1,,1166658,-8,,,0,BC,,,0,0,2012-01-22 00:00:00,,-4,,22,1166658.2012.1.22,RED LAKE,,0,,,,,22,,,,0,22,2012,,
-120.8,50.935,1,,1166658,-5,,,0,BC,,,0,1.5,2012-01-23 00:00:00,,-1.8,,22,1166658.2012.1.23,RED LAKE,,0,,,,,23,,,,0,19.8,2012,,
-120.8,50.935,1,,1166658,-4.5,,,0,BC,,,1,-1,2012-01-24 00:00:00,,-2.8,,21,1166658.2012.1.24,RED LAKE,,1,,,,,24,,,,0,20.8,2012,,
-120.8,50.935,1,,1166658,-3,,,0,BC,,,1.5,0.5,2012-01-25 00:00:00,,-1.3,,21,1166658.2012.1.25,RED LAKE,,1.5,,,,T,25,,,,0,19.3,2012,,
-120.8,50.935,1,,1166658,-6,,,0,BC,,,0,1.5,2012-01-26 00:00:00,,-2.3,,21,1166658.2012.1.26,RED LAKE,,0,,,,,26,,,,0,20.3,2012,,
-120.8,50.935,1,,1166658,-9,,,0,BC,,,9,-1.5,2012-01-27 00:00:00,,-5.3,,19,1166658.2012.1.27,RED LAKE,,9,,,,,27,,,,0,23.3,2012,,
-120.8,50.935,1,,1166658,-6.5,,,0,BC,,,1.5,0.9,2012-01-28 00:00:00,,-2.8,,26,1166658.2012.1.28,RED LAKE,,1.5,,,,,28,,,,0,20.8,2012,,
-120.8,50.935,1,,1166658,-4,,,0,BC,,,0,2,2012-01-29 00:00:00,,-1,,25,1166658.2012.1.29,RED LAKE,,0,,,,,29,,,,0,19,2012,,
-120.8,50.935,1,,1166658,-2.5,,,0,BC,,,0,6,2012-01-30 00:00:00,,1.8,,23,1166658.2012.1.30,RED LAKE,,0,,,,,30,,,,0,16.2,2012,,
-120.8,50.935,1,,1166658,-4,,,0,BC,,,2.5,2,2012-01-31 00:00:00,,-1,,21,1166658.2012.1.31,RED LAKE,,2.5,,,,,31,,,,0,19,2012,,
-120.8,50.935,2,,1166658,-4.7,,,0,BC,,,0,3,2012-02-01 00:00:00,,-0.9,,22,1166658.2012.2.1,RED LAKE,,0,,,,,1,,,,0,18.9,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,,,0,1,2012-02-02 00:00:00,,-2,,20,1166658.2012.2.2,RED LAKE,,0,,,,,2,,,,0,20,2012,,
-120.8,50.935,2,,1166658,-5.8,,,0,BC,,,0,3.5,2012-02-03 00:00:00,,-1.2,,18,1166658.2012.2.3,RED LAKE,,0,,,,,3,,,,0,19.2,2012,,
-120.8,50.935,2,,1166658,-6.5,,,0,BC,,,0,4,2012-02-04 00:00:00,,-1.3,,18,1166658.2012.2.4,RED LAKE,,0,,,,,4,,,,0,19.3,2012,,
-120.8,50.935,2,,1166658,-8,,,0,BC,,,0,2,2012-02-05 00:00:00,,-3,,16,1166658.2012.2.5,RED LAKE,,0,,,,,5,,,,0,21,2012,,
-120.8,50.935,2,,1166658,-8.5,,,0,BC,,,0,4.5,2012-02-06 00:00:00,,-2,,15,1166658.2012.2.6,RED LAKE,,0,,,,,6,,,,0,20,2012,,
-120.8,50.935,2,,1166658,-8,,,0,BC,,,0,4,2012-02-07 00:00:00,,-2,,15,1166658.2012.2.7,RED LAKE,,0,,,,,7,,,,0,20,2012,,
-120.8,50.935,2,,1166658,-8.5,,,0,BC,,,0,2.5,2012-02-08 00:00:00,,-3,,13,1166658.2012.2.8,RED LAKE,,0,,,,,8,,,,0,21,2012,,
-120.8,50.935,2,,1166658,-3.5,,,0,BC,,,0,1,2012-02-09 00:00:00,,-1.3,,12,1166658.2012.2.9,RED LAKE,,0,,,,,9,,,,0,19.3,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,T,,0,2,2012-02-10 00:00:00,T,-1.5,,11,1166658.2012.2.10,RED LAKE,,0,,,,,10,,,,0,19.5,2012,,
-120.8,50.935,2,,1166658,-2,,,0,BC,,,0,4.5,2012-02-11 00:00:00,,1.3,,11,1166658.2012.2.11,RED LAKE,,0,,,,,11,,,,0,16.7,2012,,
-120.8,50.935,2,,1166658,-3,,,0,BC,,,3,5,2012-02-12 00:00:00,,1,,10,1166658.2012.2.12,RED LAKE,,3,,,,,12,,,,0,17,2012,,
-120.8,50.935,2,,1166658,-5.2,,,0,BC,,,0,0,2012-02-13 00:00:00,,-2.6,,13,1166658.2012.2.13,RED LAKE,,0,,,,,13,,,,0,20.6,2012,,
-120.8,50.935,2,,1166658,-12.5,,,0,BC,,,0,5.5,2012-02-14 00:00:00,,-3.5,,13,1166658.2012.2.14,RED LAKE,,0,,,,,14,,,,0,21.5,2012,,
-120.8,50.935,2,,1166658,-10.5,,,0,BC,,,10,4.5,2012-02-15 00:00:00,,-3,,12,1166658.2012.2.15,RED LAKE,,10,,,,,15,,,,0,21,2012,,
-120.8,50.935,2,,1166658,-5.5,,,0,BC,,,6.5,1,2012-02-16 00:00:00,,-2.3,,22,1166658.2012.2.16,RED LAKE,,6.5,,,,,16,,,,0,20.3,2012,,
-120.8,50.935,2,,1166658,-5.5,,,0,BC,,,2.5,0,2012-02-17 00:00:00,,-2.8,,27,1166658.2012.2.17,RED LAKE,,2.5,,,,,17,,,,0,20.8,2012,,
-120.8,50.935,2,,1166658,-3.5,,,0,BC,,,3.5,0.5,2012-02-18 00:00:00,,-1.5,,28,1166658.2012.2.18,RED LAKE,,3.5,,,,,18,,,,0,19.5,2012,,
-120.8,50.935,2,,1166658,-6.5,,,0,BC,,,1.5,-1,2012-02-19 00:00:00,,-3.8,,30,1166658.2012.2.19,RED LAKE,,1.5,,,,,19,,,,0,21.8,2012,,
-120.8,50.935,2,,1166658,-5.5,,,0,BC,,,8.5,1,2012-02-20 00:00:00,,-2.3,,31,1166658.2012.2.20,RED LAKE,,8.5,,,,,20,,,,0,20.3,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,,,8,0.5,2012-02-21 00:00:00,,-2.3,,38,1166658.2012.2.21,RED LAKE,,8,,,,,21,,,,0,20.3,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,,,1,4.5,2012-02-22 00:00:00,,-0.3,,43,1166658.2012.2.22,RED LAKE,,1,,,,,22,,,,0,18.3,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,,,12,1.5,2012-02-23 00:00:00,,-1.8,,44,1166658.2012.2.23,RED LAKE,,12,,,,,23,,,,0,19.8,2012,,
-120.8,50.935,2,,1166658,-6,,,0,BC,,,0,0,2012-02-24 00:00:00,,-3,,54,1166658.2012.2.24,RED LAKE,,0,,,,,24,,,,0,21,2012,,
-120.8,50.935,2,,1166658,-5,,,0,BC,T,,0,-1,2012-02-25 00:00:00,T,-3,,48,1166658.2012.2.25,RED LAKE,,0,,,,,25,,,,0,21,2012,,
-120.8,50.935,2,,1166658,-14.5,,,0,BC,,,0,-11.5,2012-02-26 00:00:00,,-13,,48,1166658.2012.2.26,RED LAKE,,0,,,,,26,,,,0,31,2012,,
-120.8,50.935,2,,1166658,-20,,,0,BC,,,0,-6,2012-02-27 00:00:00,,-13,,46,1166658.2012.2.27,RED LAKE,,0,,,,,27,,,,0,31,2012,,
-120.8,50.935,2,,1166658,-15,,,0,BC,,,1,-1,2012-02-28 00:00:00,,-8,,43,1166658.2012.2.28,RED LAKE,,1,,,,,28,,,,0,26,2012,,
-120.8,50.935,2,,1166658,-8.5,,,0,BC,,,4,0.5,2012-02-29 00:00:00,,-4,,42,1166658.2012.2.29,RED LAKE,,4,,,,,29,,,,0,22,2012,,
-120.8,50.935,3,,1166658,-8.5,,,0,BC,,,1,-1,2012-03-01 00:00:00,,-4.8,,46,1166658.2012.3.1,RED LAKE,,1,,,,,1,,,,0,22.8,2012,,
-120.8,50.935,3,,1166658,-8.5,,,0,BC,,,2.5,3,2012-03-02 00:00:00,,-2.8,,46,1166658.2012.3.2,RED LAKE,,2.5,,,,,2,,,,0,20.8,2012,,
-120.8,50.935,3,,1166658,-4,,,0,BC,T,,0,8,2012-03-03 00:00:00,,2,,42,1166658.2012.3.3,RED LAKE,,0,,,,T,3,,,,0,16,2012,,
-120.8,50.935,3,,1166658,-2.5,,,0,BC,,,1,9,2012-03-04 00:00:00,,3.3,,42,1166658.2012.3.4,RED LAKE,,1,,,,,4,,,,0,14.7,2012,,
-120.8,50.935,3,,1166658,-6.7,,,0,BC,,,0.5,-4,2012-03-05 00:00:00,,-5.4,,41,1166658.2012.3.5,RED LAKE,,0.5,,,,,5,,,,0,23.4,2012,,
-120.8,50.935,3,,1166658,-13,,,0,BC,,,0,-2,2012-03-06 00:00:00,,-7.5,,38,1166658.2012.3.6,RED LAKE,,0,,,,,6,,,,0,25.5,2012,,
-120.8,50.935,3,,1166658,-8,,,0,BC,,,0,1.5,2012-03-07 00:00:00,,-3.3,,38,1166658.2012.3.7,RED LAKE,,0,,,,,7,,,,0,21.3,2012,,
-120.8,50.935,3,,1166658,-6,,,0,BC,,,0,6.5,2012-03-08 00:00:00,,0.3,,38,1166658.2012.3.8,RED LAKE,,0,,,,,8,,,,0,17.7,2012,,
-120.8,50.935,3,,1166658,0,,,0,BC,,,0,8.5,2012-03-09 00:00:00,,4.3,,0,1166658.2012.3.9,RED LAKE,,0,,,,,9,,,,0,13.7,2012,,
-120.8,50.935,3,,1166658,-1,,,0,BC,,,0,6,2012-03-10 00:00:00,,2.5,,37,1166658.2012.3.10,RED LAKE,,0,,,,,10,,,,0,15.5,2012,,
-120.8,50.935,3,,1166658,-1.5,,,0,BC,,,0,5,2012-03-11 00:00:00,,1.8,,36,1166658.2012.3.11,RED LAKE,,0,,,,,11,,,,0,16.2,2012,,
-120.8,50.935,3,,1166658,-6,,,0,BC,T,,0,1,2012-03-12 00:00:00,T,-2.5,,34,1166658.2012.3.12,RED LAKE,,0,,,,,12,,,,0,20.5,2012,,
-120.8,50.935,3,,1166658,-6,,,0,BC,T,,0,0,2012-03-13 00:00:00,T,-3,,32,1166658.2012.3.13,RED LAKE,,0,,,,,13,,,,0,21,2012,,
-120.8,50.935,3,,1166658,-7,,,0,BC,,,0,1,2012-03-14 00:00:00,,-3,,30,1166658.2012.3.14,RED LAKE,,0,,,,,14,,,,0,21,2012,,
-120.8,50.935,3,,1166658,-6,,,0,BC,,,2,5,2012-03-15 00:00:00,,-0.5,,28,1166658.2012.3.15,RED LAKE,,2,,,,T,15,,,,0,18.5,2012,,
-120.8,50.935,3,,1166658,-3.5,,,0,BC,T,,0,4.5,2012-03-16 00:00:00,T,0.5,,28,1166658.2012.3.16,RED LAKE,,0,,,,,16,,,,0,17.5,2012,,
-120.8,50.935,3,,1166658,-5.5,,,0,BC,,,5,2,2012-03-17 00:00:00,,-1.8,,28,1166658.2012.3.17,RED LAKE,,5,,,,,17,,,,0,19.8,2012,,
-120.8,50.935,3,,1166658,-8,,,0,BC,,,0,3.5,2012-03-18 00:00:00,,-2.3,,30,1166658.2012.3.18,RED LAKE,,0,,,,,18,,,,0,20.3,2012,,
-120.8,50.935,3,,1166658,-7,,,0,BC,,,1.5,1.5,2012-03-19 00:00:00,,-2.8,,28,1166658.2012.3.19,RED LAKE,,1.5,,,,,19,,,,0,20.8,2012,,
-120.8,50.935,3,,1166658,-4,,,0,BC,,,0,4.5,2012-03-20 00:00:00,,0.3,,27,1166658.2012.3.20,RED LAKE,,0,,,,,20,,,,0,17.7,2012,,
-120.8,50.935,3,,1166658,-9,,,0,BC,,,0,1.5,2012-03-21 00:00:00,,-3.8,,24,1166658.2012.3.21,RED LAKE,,0,,,,,21,,,,0,21.8,2012,,
-120.8,50.935,3,,1166658,-8,,,0,BC,,,0,3,2012-03-22 00:00:00,,-2.5,,24,1166658.2012.3.22,RED LAKE,,0,,,,,22,,,,0,20.5,2012,,
-120.8,50.935,3,,1166658,-7,,,0,BC,,,0,5,2012-03-23 00:00:00,,-1,,22,1166658.2012.3.23,RED LAKE,,0,,,,,23,,,,0,19,2012,,
-120.8,50.935,3,,1166658,-7.5,,,0,BC,,,0,10,2012-03-24 00:00:00,,1.3,,20,1166658.2012.3.24,RED LAKE,,0,,,,,24,,,,0,16.7,2012,,
-120.8,50.935,3,,1166658,-6.5,,,0,BC,,,0,10,2012-03-25 00:00:00,,1.8,,20,1166658.2012.3.25,RED LAKE,,0,,,,,25,,,,0,16.2,2012,,
-120.8,50.935,3,,1166658,-2.5,,,0,BC,,,0,10,2012-03-26 00:00:00,,3.8,,18,1166658.2012.3.26,RED LAKE,,0,,,,,26,,,,0,14.2,2012,,
-120.8,50.935,3,,1166658,-3,,,0.5,BC,,,0.5,10,2012-03-27 00:00:00,,3.5,,16,1166658.2012.3.27,RED LAKE,,0,,,,,27,,,,0,14.5,2012,,
-120.8,50.935,3,,1166658,1,,,1,BC,,,1,6.5,2012-03-28 00:00:00,,3.8,,15,1166658.2012.3.28,RED LAKE,,0,,,,,28,,,,0,14.2,2012,,
-120.8,50.935,3,,1166658,-2,,,0.5,BC,,,2,7,2012-03-29 00:00:00,,2.5,,15,1166658.2012.3.29,RED LAKE,,1.5,,,,,29,,,,0,15.5,2012,,
-120.8,50.935,3,,1166658,-2,,,0,BC,,,5,7,2012-03-30 00:00:00,,2.5,,14,1166658.2012.3.30,RED LAKE,,5,,,,,30,,,,0,15.5,2012,,
-120.8,50.935,3,,1166658,-5,,,0,BC,,,5.5,2,2012-03-31 00:00:00,,-1.5,,15,1166658.2012.3.31,RED LAKE,,5.5,,,,,31,,,,0,19.5,2012,,
-120.8,50.935,4,,1166658,-4.5,,,0,BC,,,1,4,2012-04-01 00:00:00,,-0.3,,20,1166658.2012.4.1,RED LAKE,,1,,,,,1,,,,0,18.3,2012,,
-120.8,50.935,4,,1166658,-5,,,0,BC,,,0,5.5,2012-04-02 00:00:00,,0.3,,19,1166658.2012.4.2,RED LAKE,,0,,,,,2,,,,0,17.7,2012,,
-120.8,50.935,4,,1166658,-1,,,0,BC,,,0,7,2012-04-03 00:00:00,,3,,14,1166658.2012.4.3,RED LAKE,,0,,,,,3,,,,0,15,2012,,
-120.8,50.935,4,,1166658,-5.5,,,0,BC,,,0,8,2012-04-04 00:00:00,,1.3,,14,1166658.2012.4.4,RED LAKE,,0,,,,,4,,,,0,16.7,2012,,
-120.8,50.935,4,,1166658,-2,,,1,BC,,,1,5,2012-04-05 00:00:00,,1.5,,10,1166658.2012.4.5,RED LAKE,,0,,,,,5,,,,0,16.5,2012,,
-120.8,50.935,4,,1166658,-6,,,0,BC,,,5,3.5,2012-04-06 00:00:00,,-1.3,,10,1166658.2012.4.6,RED LAKE,,5,,,,,6,,,,0,19.3,2012,,
-120.8,50.935,4,,1166658,-6,,,0,BC,,,0,7.5,2012-04-07 00:00:00,,0.8,,15,1166658.2012.4.7,RED LAKE,,0,,,,,7,,,,0,17.2,2012,,
-120.8,50.935,4,,1166658,-5.5,,,0,BC,,,0,10.5,2012-04-08 00:00:00,,2.5,,5,1166658.2012.4.8,RED LAKE,,0,,,,,8,,,,0,15.5,2012,,
-120.8,50.935,4,,1166658,-1.5,,,0,BC,,,0,14.5,2012-04-09 00:00:00,,6.5,,0,1166658.2012.4.9,RED LAKE,,0,,,,,9,,,,0,11.5,2012,,
-120.8,50.935,4,,1166658,0,,,0,BC,,,0,16,2012-04-10 00:00:00,,8,,0,1166658.2012.4.10,RED LAKE,,0,,,,,10,,,,0,10,2012,,
-120.8,50.935,4,,1166658,0.5,,,4,BC,,,4,14.5,2012-04-11 00:00:00,,7.5,,0,1166658.2012.4.11,RED LAKE,,0,,,,,11,,,,0,10.5,2012,,
-120.8,50.935,4,,1166658,1,,,6.2,BC,,,6.2,13.5,2012-04-12 00:00:00,,7.3,,0,1166658.2012.4.12,RED LAKE,,0,,,,,12,,,,0,10.7,2012,,
-120.8,50.935,4,,1166658,0.5,,,4.2,BC,,,4.6,8.5,2012-04-13 00:00:00,,4.5,,0,1166658.2012.4.13,RED LAKE,,0.4,,,,,13,,,,0,13.5,2012,,
-120.8,50.935,4,,1166658,0,,,0,BC,,,0,5,2012-04-14 00:00:00,,2.5,,0,1166658.2012.4.14,RED LAKE,,0,,,,,14,,,,0,15.5,2012,,
-120.8,50.935,4,,1166658,-4.6,,,0,BC,,,0,9,2012-04-15 00:00:00,,2.2,,0,1166658.2012.4.15,RED LAKE,,0,,,,,15,,,,0,15.8,2012,,
-120.8,50.935,4,,1166658,-2,,,0,BC,,,1,5,2012-04-16 00:00:00,,1.5,,0,1166658.2012.4.16,RED LAKE,,1,,,,,16,,,,0,16.5,2012,,
-120.8,50.935,4,,1166658,-0.5,,,0,BC,,,5,8,2012-04-17 00:00:00,,3.8,,0,1166658.2012.4.17,RED LAKE,,5,,,,,17,,,,0,14.2,2012,,
-120.8,50.935,4,,1166658,-1.5,,,0,BC,,,0,10,2012-04-18 00:00:00,,4.3,,5,1166658.2012.4.18,RED LAKE,,0,,,,,18,,,,0,13.7,2012,,
-120.8,50.935,4,,1166658,-3.5,,,3,BC,,,3,8.5,2012-04-19 00:00:00,,2.5,,0,1166658.2012.4.19,RED LAKE,,0,,,,,19,,,,0,15.5,2012,,
-120.8,50.935,4,,1166658,-1,,,0,BC,,,0,12.5,2012-04-20 00:00:00,,5.8,,0,1166658.2012.4.20,RED LAKE,,0,,,,,20,,,,0,12.2,2012,,
-120.8,50.935,4,,1166658,-3,,,0,BC,,,0,13,2012-04-21 00:00:00,,5,,0,1166658.2012.4.21,RED LAKE,,0,,,,,21,,,,0,13,2012,,
-120.8,50.935,4,,1166658,4,,,0,BC,,,0,20.5,2012-04-22 00:00:00,,12.3,,0,1166658.2012.4.22,RED LAKE,,0,,,,,22,,,,0,5.7,2012,,
-120.8,50.935,4,,1166658,5,,,0,BC,,,0,21,2012-04-23 00:00:00,,13,,0,1166658.2012.4.23,RED LAKE,,0,,,,,23,,,,0,5,2012,,
-120.8,50.935,4,,1166658,7,,,0.7,BC,,,0.7,13.5,2012-04-24 00:00:00,,10.3,,0,1166658.2012.4.24,RED LAKE,,0,,,,,24,,,,0,7.7,2012,,
-120.8,50.935,4,,1166658,5.5,,,14.5,BC,,,14.5,12,2012-04-25 00:00:00,,8.8,,0,1166658.2012.4.25,RED LAKE,,0,,,,,25,,,,0,9.2,2012,,
-120.8,50.935,4,,1166658,5,,,9.8,BC,,,9.8,7,2012-04-26 00:00:00,,6,,0,1166658.2012.4.26,RED LAKE,,0,,,,,26,,,,0,12,2012,,
-120.8,50.935,4,,1166658,0,,,0,BC,,,0,12,2012-04-27 00:00:00,,6,,0,1166658.2012.4.27,RED LAKE,,0,,,,,27,,,,0,12,2012,,
-120.8,50.935,4,,1166658,-2,,,0,BC,,,0,11,2012-04-28 00:00:00,,4.5,,0,1166658.2012.4.28,RED LAKE,,0,,,,,28,,,,0,13.5,2012,,
-120.8,50.935,4,,1166658,2,,,3.8,BC,,,3.8,12.5,2012-04-29 00:00:00,,7.3,,0,1166658.2012.4.29,RED LAKE,,0,,,,,29,,,,0,10.7,2012,,
-120.8,50.935,4,,1166658,2,,,0,BC,,,0,10,2012-04-30 00:00:00,,6,,0,1166658.2012.4.30,RED LAKE,,0,,,,,30,,,,0,12,2012,,
-120.8,50.935,5,,1166658,1.5,,,0,BC,T,,0,11,2012-05-01 00:00:00,T,6.3,,0,1166658.2012.5.1,RED LAKE,,0,,,,,1,,,,0,11.7,2012,,
-120.8,50.935,5,,1166658,0,,,0,BC,,,0,10,2012-05-02 00:00:00,,5,,0,1166658.2012.5.2,RED LAKE,,0,,,,,2,,,,0,13,2012,,
-120.8,50.935,5,,1166658,0,,,5.5,BC,,,5.5,5,2012-05-03 00:00:00,,2.5,,0,1166658.2012.5.3,RED LAKE,,0,,,,,3,,,,0,15.5,2012,,
-120.8,50.935,5,,1166658,0,,,3.5,BC,,,3.5,9,2012-05-04 00:00:00,,4.5,,0,1166658.2012.5.4,RED LAKE,,0,,,,,4,,,,0,13.5,2012,,
-120.8,50.935,5,,1166658,0.5,,,0,BC,T,,0,9,2012-05-05 00:00:00,,4.8,,0,1166658.2012.5.5,RED LAKE,,0,,,,T,5,,,,0,13.2,2012,,
-120.8,50.935,5,,1166658,-2,,,0,BC,,,0,14.5,2012-05-06 00:00:00,,6.3,,0,1166658.2012.5.6,RED LAKE,,0,,,,,6,,,,0,11.7,2012,,
-120.8,50.935,5,,1166658,0,,,0,BC,,,0,17.5,2012-05-07 00:00:00,,8.8,,0,1166658.2012.5.7,RED LAKE,,0,,,,,7,,,,0,9.2,2012,,
-120.8,50.935,5,,1166658,4.5,,,0,BC,,,0,15,2012-05-08 00:00:00,,9.8,,0,1166658.2012.5.8,RED LAKE,,0,,,,,8,,,,0,8.2,2012,,
